Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
159,14uByGebfPR3EDhA9sVvg4wXdBNbJYW753,,1441.12 BTC,1441.12 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
160,1D6iTqvbgcqenbkKNsFsi9zN21KH4KPPEa,,1434.80 BTC,1626.96 BTC,192.16 BTC,37.0,Multiple Txs (Old),2025-10-29,Spent/Active,Unknown,Legacy (1...),
161,1AV4KGCsvtPZ9tG7hvwgb85wJyFd9xdpFv,,1429.63 BTC,10248.67 BTC,8819.05 BTC,471.0,Multiple Txs (Old),2025-10-29,Spent/Active,Unknown,Legacy (1...),
162,1DmXZ4UWKQ2AjwLAvEK8R6vmZe5jYoFUE6,,1411.32 BTC,1411.32 BTC,0.00 BTC,25.0,2012-09-05,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
163,1NScGjCDbwKKQhrUgQVhvkiWTiqDR2GaLY,,1400.00 BTC,1400.00 BTC,0.00 BTC,27.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
164,19EXaPSKix3guorGhApd1QixkwoDsk3Wv3,,1400.00 BTC,1400.00 BTC,0.00 BTC,23.0,2017-08-01,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
165,139Gqqx4TESNaX1DAg5jRJCd3P22GGS1E1,,1398.61 BTC,1398.61 BTC,0.00 BTC,28.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
166,1JqdadgxgxrnbEnfvohxtaSNbHt52kVLtC,,1396.45 BTC,1396.45 BTC,0.00 BTC,3485.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
167,3CXqwPMeRSZfAcXcw8h5xcv2QgxVP94cs8,,1394.39 BTC,1394.39 BTC,0.00 BTC,21.0,2019-01-15,2025-10-29,Dormant,Unspent/Lost Keys?,P2SH (3...),
168,35tR8soky58TuUo1dKrT7RTsRc8SWCAZMk,,1391.88 BTC,1391.88 BTC,0.00 BTC,23.0,2017-09-06,2025-10-29,Dormant,Unspent/Lost Keys?,P2SH (3...),
169,1Nc5Vpkk3qhFHzwrvHedr5uBB6ELSMuSmB,,1382.98 BTC,1382.98 BTC,0.00 BTC,24.0,2017-02-24,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
170,1K4VSNMNqnmngpTXdny8a6xj9cfvyTtFfV,,1380.61 BTC,1380.61 BTC,0.00 BTC,303.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
171,14ResTzJYh5t9xDqtEsgCfXNjaWNSuA5uQ,,1364.19 BTC,1756.76 BTC,392.57 BTC,39.0,Multiple Txs (Old),2025-10-29,Spent/Active,Unknown,Legacy (1...),
172,16QdwpazhZ2FnqiB5UauW7vRFqQjNBH7u3,,1360.06 BTC,1360.06 BTC,0.00 BTC,25.0,2015-12-18,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
173,1GRg4w3SEp3D5HgJejyasQtD6UyTyrtAqL,,1350.00 BTC,1350.00 BTC,0.00 BTC,22.0,2018-01-31,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
174,3KFumSNurzdgfsKzeLVC4CvsiepdBXwQEd,,1347.46 BTC,1347.46 BTC,0.00 BTC,21.0,2019-01-15,2025-10-29,Dormant,Unspent/Lost Keys?,P2SH (3...),
175,1HW3Wa63msqwhrBYCAsddMGh1gWXABXWyV,,1336.93 BTC,1336.93 BTC,0.00 BTC,22.0,2018-02-23,2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
176,1GkqY6YQB6WKC9Hjh8oP8yojDufDYRCXkq,,1336.22 BTC,1336.22 BTC,0.00 BTC,47.0,Multiple Txs (Old),2025-10-29,Dormant,Unspent/Lost Keys?,Legacy (1...),
